Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,0866 2573636,9849118077,NA,NA,lionsbloodbank@yahoo.com,,Dr K S R K Prasad,NA,NA,lionsbloodbank@yahoo.com,MBBS,Charity,YES,YES,24x7,08/KR/AP/2005/R,14.12.2005,13.12.2015,16.510309,80.63251
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,0866 2434499,9394777899,NA,NA,surakshabloodbank@gmail.com,,Dr. C. S. R. Prasad,"0866 2434499	",9394777899,surakshabloodbank@gmail.com,"MBBS, MS",Charity,YES,NO,"24x7	",03/VJ/AP/2009/BB/CP,22.04.2009,02.05.2017,16.51343,80.632861
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,0866 2541414,8498061158,NA,NA,NA,http://www.aayushhospitals.com,"Dr. P. Padma, Dr. Prahlad Rao	",NA,"08498061186, 09848377347",bloodbank@aayushhospitals.com,"MBBS, MD (Pathology)",Private,YES,YES,24x7,01/VJ/AP/2014/BB/G,22.05.2014,21.05.2019,#N/A,#N/A
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,"0866 6500000, 0866 6545454",,,,nimrabloodbank@gmail.com,,,,,,,Private,YES,NO,,07/KN/AP/2012/BB/G,,,#N/A,#N/A
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,,9440503302,,,drhsivareddy123@gmail.com,,,,,,,Government,NO,NO,24x7,26/KNL/AP/2009/BB/G,12/10/2010,11/10/2015.   SENT FOR RENEWAL ON 10/09/2015 ,15.632223,77.272837
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,NA,9440503302,NA,NA,NA,,"Dr. Shiva Reddy	",NA,9440503302,ircsbloodbank@gmail.com,MBBS,Charity,NO,NO,24x7,26/KNL/AP/2009/BB/G,12.10.2010,11.10.2015,15.632223,77.272837
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,518002,,9985676311,,,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,,,,,kulgghbloodbank@gmail.com,,Government,,,24x7,,,,15.820654,78.038088
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,08518 255347,9490601960,NA,NA,indianredcrossknl@yahoo.com,,"Dr. M. Venkatayya, Dr. Mumtaz Aziz",NA,"09440251277, 09490601960",ircsbloodbankknl@gmail.com,"MBBS, MD (Pathology)",Charity,YES,YES,"24x7	","3/KL/AP/2004/BB/R	",03.03.2004,14.03.2019,15.816357,78.040317
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,08518 283964,,,,,,,,,vbghbbknl@gmail.com,,Government,,,,,,,15.8132734,78.0380988
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,08518 22294,,,,,,,,,,,Charity,,,,,,,15.8137967,78.037619
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,08518 223131,9966662331,NA,NA,NA,,"Dr. Rahul Balamaddayya	",NA,9866659414,rrbloodbank@yahoo.in,"MBBS, MS",Private,YES,YES,"24x7	",16/KNL/AP/2009/BB/G,14.07.2009,14.07.2019,15.82872,78.035743
81,District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,8514221033,9959912781,NA,NA,bbdhnandyal@gmail.com,,Dr. K. Sunil Kumar,8514221033,9959912781,bbdhnandyal@gmail.com,"MBBS, MD (Pathology)",Government,NO,NO,24x7,128/KL/AP/2000/BB/G,30.11.2000,31.12.2016,15.469336,78.482935
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",518501,,,,,,,,,,,,NA,,,,,,,15.4922086,78.4189913
83,Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,,,,,,,,,,,,NA,,,24x7,,,,16.0833,78.8667
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,8520026320,9441743892,NA,NA,shaikabdulhafiz@gmail.com,,Dr. M. Priyamvada,NA,9441743892,ahchirala@yahoo.com,MBBS,Government,NO,NO,24x7,"88/PK/AP/97/BB			",17.04.1997,30.07.2017,15.825971,80.36127
85,Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,08596 223485,9440211131,NA,NA,ahmarkapur@yahoo.com,,Dr. P. Pitchi Reddy,NA,9440211131,docgpreddy@gmail.com,MBBS,Charity,NO,NO,24x7,14/PS/AP/2008/BB/G,13.08.2008,12.08.2013,15.736154,79.269125
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,8592233310,9000991884,,,bloodbankrimsongole@gmail.com,http://www.rimsongole.org/hospital.aspx,,,,,,Government,NO,,24x7,04/PRK/AP/2011/BB/G,19/05/2011,18/05/2016,15.487882,80.047144
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,08592 236093,9247264635,NA,NA,ircsbbongole@gmail.com,http://www.REDCROSS-prakasam.org,Dr. K.SHAMMI KASTHURI,NA,9948570246,ircsbbongole@gmail.com,MBBS,Charity,NO,NO,24x7,135/PS/AP/99/BB/R,14.06.1999,29.12.2012,15.505723,80.049922
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,9247023117,"09247023117, 09848999117",NA,NA,ehara.rao0900@gmail.com,,Dr. G. Raghav,NA,9441126486,edara.rao0900@gmail.com,MBBS MD (Gen.Med),Charity,NO,NO,"24x7	",07/PRK/AP/2011/BB/G,03.10.2011,"02.10.2016		",15.481367,80.05908
89,M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,08592 222345,9849499988,NA,NA,NA,,Dr. C. H. RaviKumar,NA,9849499988,beliefbloodbank@gmail.com,MBBS (Orthopaedics),Charity,YES,YES,"24x7			","18/PRK/AP/2009/BB/G	",,,15.481367,80.05908
90,Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,"Area Hospital Compound, Gudur
",524101,,8008553616,,,ahgudur@yahoo.com,,Dr.SAGILI RAVIBABU,9440558885,9440558885,ahgudur@yahoo.in,"MBBS,DTCD;",Government,NO,NO,24x7,130/NL/AP/2000/BB/R,,,14.146545,79.848756
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",524201,08626 244766,9849850498,,,,,,,,,,Charity,,,,,,,#N/A,#N/A
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,Area Hospital Compound Kavali,524201,,9247708602,,,,,,,,,,Government,,,,,,,14.9133787,79.9927167
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",524201,08626 244766,9849850498,NA,NA,NA,,Dr. B. Ravi Kumar,NA,9440276386,kavaliredcross@gmail.com,MBBS,Charity,NO,NO,24x7,"06/NL/AP/2011/BB/G	",20.10.2011,19.10.2016,14.913181,79.99298
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",524003,0861 2320470,9347033100,NA,NA,redcross_nlr@yahoo.com,,Dr. Penchala Subbaiah,NA,9441010539,redcross_nlr@yahoo.com,MBBS,Charity,YES,NO,24x7,95/NL/AP/97/BB/R,"17.07.1997	",,14.426777,79.959008
95,District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,"District Headquarters Hospital, Dargamitta, Nellore",524003,,92477088602,,,dsrbbnlr@gmail.com,,,,,,,NA,,,24x7,,,,14.435424,79.966831
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Government Hospital Compound, Nellore",524002,0861 2349277,,,,,,,,,dsrbbnlr@gmail.com,,Government,,,,,,,14.4365036,79.999432
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Narayana Hospital compound, Nellore",524002,0861 2317963,NA,NA,NA,NA,,"Dr. Yashovardhan, Dr. Sundaram",NA,9866924249,bloodbankngh@gmail.com,"MBBS, MD (Transfusion Medicine)",Private,YES,YES,"24x7	",08/NL/AP/2007/BB/G,13.11.2008,13.11.2018,14.442599,79.986456
98,Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",532001,NA,9391489207,NA,NA,NA,,Dr. K. Venkateswara Rao,NA,9391489207,gemshospitalbloodbank@gmail.com,"MBBS, DCP",Private,NO,NO,"24x7	",6/SK/AP/2010/BB/G,03.06.2011,02.06.2016,18.289087,83.9056
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",532127,"08941 253183, 08941 253184",NA,"1,800,425,183,418,000,000,000",08941 253185,NA,,"Dr. R. Sudhakar	",NA,9963790182,"ic_bloodbank@gmrcarehospitals.in	","MBBS, MD (Pathology)",Private,YES,NO,24x7,06/SK/AP/2013/BB/G,"26.11.2013		",25.11.2018,18.461272,83.658352
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam
",532001,08942 279679,9701501018,NA,NA,bbrimssklm@gmail.com,,"Dr. K. Paparatnam,MD",NA,9701501018,bbrimssklm@gmail.com,"MBBS, MD (Pathology)",Government,YES,NO,24x7,59/SKL/AP/97/BB/CP,19.08.1997,18.08.2016,18.312884,83.887717
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",532001,"08942 226555, 08942 226111",NA,1910,NA,secretary.redcrosssklm@gmail.com,http://www.ircssrikakulam.com/,"Dr. G. Satyavathi	",NA,9059466827,secretary.redcrosssklm@gmail.com,MBBS,Charity,NO,NO,24x7,2/SK/AP/2006/BB/R,27.02.2016,26.02.2021,18.296359,83.894549
102,District Hospital,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,AH- ANAKAPALLI,531001,,9848325561,,,bloodbank.ahakp@gmail.com,,,,,,,Government,YES,NO,24x7,,,,17.689592,82.997733
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",531001,08924 223340,9491817042,NA,NA,bloodbank.ahakp@gmail.com,,Dr. R. Rama Dasu,NA,9705076008,NA,MD (Pathology),Government,NO,NO,8 Hrs,18/AP/VP/2003/BB/G,17.11.2003,29.05.2014,17.686427,83.218576
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",530032,0891 2887722,"07702917979, 08912888462",0891 2887722,NA,NA,,Dr. A. Shanthi Priya,NA,7702917979,Santhi_priya@vizagsteel.com,MD (Pathology),Government,NO,NO,"24x7			",22/VP/AP/95/BB/R,16.04.1996,13.02.2014,17.662908,83.144127
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",530005,0891 2814028,,0891 2814028,,,,,,,Dinesh179418@gmail.com,,NA,NO,,,,,,17.6871271,83.2505089
106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",531162,8912821111 (Exte. No. 126),NA,08933 226900,0891 2821199,nriims@gmail.com,,Dr. Ms. C. P. Pushpavathi,"NA		","08008901273, 09866656485",c_pushpavathi@yahoo.co.in,"MBBS, DIBT",Private,YES,NO,24X7,01/VP/AP/2007/BB/G,"06.03.2007	",05.03.2017,17.97256,83.432338
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",530002,0891 2564891,8912563345,0891 2564891,NA,kgh_vsp@ap.nic.in,,Dr. Syamala,NA,8912563345,Kgh_vsp@nic.in,MBBS,Government,YES,NO,24x7,78/VSP/AP/97/BB/R,28.01.1997,31.12.2017,17.70667,83.303737
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",530001,0891 2562637 ,9059522294,0891 2562637,,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",,Dr. K. Chandra Sekhar Dev,,9440283049,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",M.S E.N.T,Government,NO,,24x7,57/VSP/AP/97/BB/G,1997,2013,17.686816,83.218482
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",530002,0891 2703953,9848027203,0891 2794153,NA,secretaryvspredcross@gmail.com,,"Dr. M. Lakshmi,  Dr. P. Jagannatham, Dr. P. Venugopal",0891 2703953,"09491880025, 09177722827, 09848027203			",secretaryvspredcross@gmail.com,"MBBS, MD. DCH	",Charity,YES,NO,24x7,15/VP/AP/2004/BB/R,02.12.2004,01.12.2014,17.686816,83.218482
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",530002,"0891 6534635, 0891 2506678",9848193503,"0891 6534635, 0891 2506678",NA,rotarybloodbankvsp@gmail.com,,"Dr. P. Kamala Devi		",NA,9848193503,rotarybloodbankvsp@gmail.com,MBBS,Charity,YES,YES,24x7,"19/VP/AP/2002/BB/R			",27.01.2003,28.11.2018,17.686816,83.218482
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",530002,0891 2727272 ,NA,0891 2727272,0891 2560858,Jhansilaxmi-a@apollohospital.com,http://www.apollohospital.com,Dr. V. Bhushan Rao,NA,9000013568,drvbhushanrao@gmail.com ,"MD (Pathology)	",Private,NO,NO,24x7,"120/VP/AP/2000/BB/R	","03.10.2000	",31.12.2016,17.717084,83.309208
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",530002,0891 6677777,9848199322,NA, 0891 2565635,NA,http://www.sevenhillshospital.com,Dr. Venkatesh Giri,NA,9440401400,Venkatesh.s@sevenhillshospital.com,MD (Pathology),Private,NO,NO,24x7,07/VP/AP/2007/BB/CC,12.10.2009,"11.10.2019		",17.71737,83.309268
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2543436,0891 6663436,0891 6644936.",9393963436,NA,NA,asrajavbloodbank@gmail.com,,Dr. A. Sugandhi,0891 2543436,9393963436,drasugandhi@gmail.com,"MBBS, MD ,Pathology.",Charity,YES,NO,24x7,7/VP/AP/2002/BB/R,06.09.1995,27.08.2018,17.720274,83.313048
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",530002,"0891 6692587, 0891 6692580, 0891 6692590","917,723,430,709,393,000,000","0891 6692587, 0891 6692580, 0891 6692590",NA,lionsbloodbankvsp@gmail.com,,Dr. K. Manjula Vani,NA,9885199088,"manjulavanidr@gmail.com, ","MBBS, DGO",Charity,YES,NO,"24X7	","03/VP/AP/2012/BB/G	",07.06.2012,06.06.2017,17.719063,83.311286
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2565858, 0891 2555858","09032005619	","0891 2565858, 0891 2555858",NA,NA,http://www.ntrtrust.org,"Dr. P S Vasantha Rao		",0891-2565858,9059075271,vizagbb@ntrtrust.org,"MBBS	",Charity,YES,YES,24X7,03/VSP/AP/2013/BB/G,30.05.2013,30.05.2018,17.691575,83.238891
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",530045,0891 2524777,9985556050,"0891 2524777	",0891 2790222,directorgims@gitam.edu,,Dr. Anju Ramesh Choudhary,NA,9393102206,dranjuchoudhary@yahoo.com,"MBBS, DCP",Private,YES,YES,"24x7		",2/VSP/AP/2015/BB/G,19.05.2015,18.05.2020,17.784938,83.374975
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",530048,"0891 2793741, 0891 2590131",7675808026,"0891 2793741, 0891 2590131",0891 2793740,gvphospital@gmail.com,http://www.gvpmc.in,Dr. M. Subramania sharma,NA,9848146869,gvphospital@yahoo.com ,MD (Pathology),Private,YES,NO,"24x7					",03/VSP/AP/2015/BB/G,28.08.2015,27.08.2020,17.689433,83.211615
118,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",535501,08963 222088,9908842182,NA,NA,NA,,Dr. P. Swathi,NA,9000250742,madhuircs@gmail.com,"MBBS, Diploma in Pathology",Charity,NO,NO,24x7,15/VZN/AP/2007/BB/G,24.08.2007,24.07.2012,18.781716,83.426752
119,District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram ",535003,NA,9440070099,NA,NA,bloodbankdhvzm@gmail.com,,Dr. B. Satya Srinivas,NA,9440070099,bloodbankdhvzm@gmail.com,MD (Pathology),Government,YES,NO,24x7,58/VZM/AP/97/BB/R,27.01.1998,01.01.2017,18.110022,83.388433
120,Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",535003,08922 272700,8142578999,,NA,"secretaryredcrossvizianagaram@gmail.com,",,Dr. Venugopal Reddy CH.P.,NA,8142578999,dr.cvgreddy@gmail.com,"MBBS, FICC",Charity,NO,NO,24x7,10/VZ/AP/2006/BB/G,02.12.2006,01.11.2011,18.106658,83.395551
121,Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",535002,08922 275513 ,9390028861,,,,,,,,JVSpatnaik795@gmail.com,,Private,NO,,,,,,#N/A,#N/A
122,Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 31-15, Nellimarla, Vizianagaram",535002,08922 244394,9440043451,,,,,,,,principalsretmims@gmail.com ,,Private,YES,,,,,,18.1460163,83.4424491
123,ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",534202,08816 225556,9666001234,NA,NA,NA,http://www.asnrajutrust.org,Dr. A. Durga Prasad,NA,9951225559,NA,MBBS,Charity,YES,NO,24X7,10/WG/AP/2010/BB/G,03.08.2010,03.08.2015,16.54391,81.516237
124,Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",534202,"08816 230888, 08816 230878",8897888108,NA,NA,anandabloodbank@gmail.com,,Dr. N. Kasi Viswanatha Raju,NA,9542218999,anandabloodbnak@gmail.com,"MBBS, DPH",Charity,NO,NO,24X7,25/WG/AP/2009/BB/G,22.12.2009,14.11.2014,16.543064,81.515731
125,M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",534006,08812 220333,NA,NA,NA,wgbloodbank@gmail.com,,Dr. G. Shyam Sundar,NA,8008441531,wgbloodbank@gmail.com,"MBBS, DCP",Government,NO,NO,24x7,54/WG/AP/97/BB/G,28.01.1997,31.12.2017,17.006153,81.782132
126,M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru," General Hospital Premises, Eluru, West Godavai
",534006,08812 224722,9848177142,NA,NA,redcrosseluru@gmail.com,http://www.indianredcross.ap.org,"Dr. Prasad, Dr K Kondhanda Rami Reddy",NA,"09490126837, 09848474494",redcrosseluru@gmail.com,"MBBS, Ms (Artho)  ",Charity,YES,NO,24x7,16/WG/AP/2003/BB/CP,07.10.2003,29.03.2012,16.711919,81.094839
127,M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
",534005,"08812 288288, 08812 288299","07382626281, 07382626282",NA,NA,asrams@yahoo.com,http://www.asram.in,Dr. T. Sai Chand,NA,7382626282,"saichandt@yahoo.com, asrambloodbank@gmail.com",MD (Microbiology),Charity,YES,NO,24X7,14/WG/AP/2002/BB/R,19.11.2002,19.11.2017,16.737395,81.146494
128,M/s. Good Samaritan Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
",534001,"08812 246430, 08812 246947",9440470715,NA,NA,samaritaneluru@gmail.com,http://goodsmaritanhospitals.com,Dr. V. Rajendra,9010812340,8985167461,samaritaneluru@gmail.com,MBBS,Private,NO,NO,24X7,08/WG/AP/2011/BB/G,29.12.2011,28.12.2016,18.179738,83.39551
129,M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,WEST GODAVARI,Jangareddygudem,"Government Hospital Premises, Jangareddygudem",534447,08821 225305,9493009404,NA,NA,Bloodbankahjrg@gmail.com,http://www.indianredcross.ap.org,Dr. G. V. V. Satyanarayana,8821225305,"09550928665, 09441046363",Bloodbankahjrg@gmail.com,MBBS,Government,NO,NO,24X7,01/WG/AP/2012/BB/CC,20.11.2013,20.11.2018,17.125307,81.273907
130,Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,WEST GODAVARI,Narasapuram,"C/o. Community Healthcare Center, Narsapuram",534275,08814 276656 ,8179704000,NA,NA,harshasatish555@gmail.com,http://www.indianredcross.ap.org,Dr. K. S. Trimurthulu,NA,9440467664,harshasatish555@gmail.com,"MBBS, MS (ENT)",Charity,NO,NO,24x7,01/WG/AP/2015/BB/G,25.06.2015,24.06.2020,16.45196,81.680205
131,Palakol Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,Palakol,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",534260,08814 222678,9885144415,NA,NA,palakolvoluntarybloodbank@gmail.com,,Dr. Geetha Rani,NA,9885906123,palakolvoluntarybloodbank@gmail.com,"MBBS, DGO",Charity,YES,YES,24X7,9/WG/AP/2004/BB/CP,01.09.2004,09.03.2020,16.517455,81.725342
132,Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,WEST GODAVARI,Tanuku,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",534211,8819221184,,,,wgbloodbank@gmail.com,,,,,,,NA,,,24x7,,,,16.757173,81.679963
133,Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,WEST GODAVARI,Tanuku,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",534215,08819 221184,9959312349,08819 220274,NA,ircs.tanuku@gmail.com,http://www.indianredcross.ap.org,Dr. N. Sri Hari,NA,9885500172,ircs.tanuku@gmail.com,MBBS,Charity,NO,NO,24x7,12/WG/AP/2007/BB/R,"14.09.2007		",13.09.2017,16.757173,81.679963
